Text,Language
"ਪੰਜਾਬੀ ਭਾਸ਼ਾ (ਸ਼ਾਹਮੁਖੀ) (ਗੁਰਮੁਖੀ: ਪੰਜਾਬੀ) ਪੰਜਾਬ ਦੀ ਭਾਸ਼ਾ, ਜਿਸ ਨੂੰ ਪੰਜਾਬ ਖੇਤਰ ਦੇ ਵਸਨੀਕ ਜਾਂ ਸੰਬੰਧਿਤ ਲੋਕ ਬੋਲਦੇ ਹਨ",Punjabi
१९६१ वोर्सा गोंय्च्या भारोतांत जोडच्या वेळर भारोताचे सोगळे प्रांत भासेच्य आकारांत केले गेले,Konkani
عربی کا اس خطے میں عمل دخل اس وقت شروع ہوا جب پہلے ہزار سال کے آخری دور میں عربوں نے برصغیر کے کچھ علاقوں میں بطور فاتح قدم جمایا,Urdu
"ధర శ్రీ పర్వత కాళే శ్వర దాక్షారామ సంజ్ఙ వఱలు త్రిలింగా కరమగుట నంధ్రదేశం బరుదారఁ ద్రిలింగదేశ మనఁజనుఁ గృతులన్ తత్త్రిలింగ పదము తద్భవంబగుటచేఁ దెలుఁగు దేశ మనఁగఁ దేటపడియె వెనకఁ దెనుఁగు దేశమును నండ్రు కొందరు శ్రీశైలం, కాళేశ్వరం, ద్రాక్షారామం – అనే మూడు శివలింగక్షేత్రాల మధ్య భాగము త్రిలింగదేశమనీ, త్రిలింగ పదము తెలుగు గా పరిణామము పొందినదని ఒక సమర్థన",Telugu
বাংলাদেশ ও পশ্চিমবঙ্গে প্রচলিত বাংলা ভাষার মধ্যে শব্দগত ও উচ্চারণগত সামান্য পার্থক্য রয়েছে,Bengali
" Because Norman was spoken primarily by the elites and nobles, while the lower classes continued speaking Anglo-Saxon (English), the main influence of Norman was the introduction of a wide range of loanwords related to politics, legislation and prestigious social domains",English
The earliest form of English is called Old English or Anglo-Saxon (c,English
" అయినా కూడా, క్రీస్తు శకం మొదటి శతాబ్దములో శాతవాహన రాజులు సృష్టించిన గాథాసప్తశతి అన్న మహారాష్ట్రీ ప్రాకృత పద్య సంకలనంలో తెలుగు పదాలు మొట్టమొదట కనిపించాయి",Telugu
हिन्‍दी भाषा व साहित्‍य के जानकार अपभ्रंश की अन्तिम अवस्‍था 'अवहट्ठ से हिन्‍दी का उद्भव स्‍वीकार करते हैं,Hindi
উষ্ম ধ্বনিৰ ভিতৰত ঘোষ আৰু অঘোষ দুইবিধ পোৱা যায়,Assamese
" By the 7th century, the Germanic language of the Anglo-Saxons became dominant in Britain, replacing the languages of Roman Britain: Common Brittonic, a Celtic language, and Latin, brought to Britain by the Roman occupation",English
प्राकृत-व्याकरणों ने संस्कृत के ढाँचे पर व्याकरण लिखे और संस्कृत को ही प्राकृत आदि की प्रकृति माना,Hindi
অসমীয়া ভাষাৰ গঢ় আৰু ধ্বনি বৈশিষ্ট্যসমূহ সংস্কৃতৰ পৰা উদ্ভৱ হৈছে,Assamese
These shared innovations show that the languages have descended from a single common ancestor called Proto-Germanic,English
पैठण (प्रतिष्ठान) येथील सातवाहन साम्राज्याने महाराष्ट्री भाषेचा प्रशासनात वापर सर्वप्रथम केला,Marathi
श्वेतवर्णभागे नीलम् अशोकचक्रं राजते,Sanskrit
संस्कृत में ष का उच्चारण ऐसे होता था : जीभ की नोक को मूर्धा (मुँह की छत) की ओर उठाकर श जैसी आवाज करना,Hindi
جبکہ ہندی زبان دیوناگری رسم الخط میں لکھی جاتی ہے اور سنسکرت الفاظ زیادہ استعمال کرتی ہے,Urdu
বাংলাদেশে প্রতি বছর ২১শে ফেব্রুয়ারি ভাষা আন্দোলন দিবস পালিত হয়,Bengali
ہِندوستان  کٲشُر ، ہِندی: اَنٛگریٖزی: چھُ براعظم ایشِیاہَس مَنٛز مٕلٕک,Kashmiri
اُردو کی ہندی کے ساتھ یکسانی کی وجہ سے، دونوں زبانوں کے بولنے والے ایک دوسرے کو عموماً سمجھ سکتے ہیں,Urdu
नपुंसक वस्तुओं का लिंग भाषा परम्परानुसार पुल्लिंग या स्त्रीलिंग होता है,Hindi
সাধু ভাষার পরিবর্তনের কথা মনে রাখলে অন্ত্য-মধ্য উপস্তরের শেষসীমা ১৭৫০ খ্রীঃ ধরাই সঙ্গত,Bengali
" ଜଳ ସମ୍ପଦ, ଶକ୍ତି ଏବଂ ନକ୍ସଲ ଉପଦ୍ରବ ସମସ୍ୟା ସମ୍ବନ୍ଧୀତ ବିଷୟରେ ମିଳିତ ପଦକ୍ଷେପ ଗ୍ରହଣ କରିବା ପାଇଁ ସହମତି ପ୍ରକାଶ ପାଇଥିଲା ଓଡିଆ ଏବଂ ତେଲୁଗୁ ଭାଷା ପାଇଁ ଯଥାକ୍ରମେ ବ୍ରହ୍ମପୁର ଖଲ୍ଲିକୋଟ ବିଶ୍ବ ବିଦ୍ୟାଳୟ ଏବଂ ଶ୍ରୀକାକୁଲାମ୍ ସ୍ଥିତ ଅମ୍ବେଦକର ବିଶ୍ବ ବିଦ୍ୟାଳୟରେ ସ୍ବତନ୍ତ୍ର ଚେୟାର୍ ପ୍ରତିଷ୍ଠା କରାଯିବ",Odia
क्रिया वचन-से भी प्रभावित होती है,Hindi
ರೈತರಿಗೆ ರಾಷ್ಟ್ರೀಯ ತೋಟಗಾರಿಕೆ ಮಿಷನ್ ಯೋಜನೆಯಡಿಯಲ್ಲಿ ಸಹಾಯಧನ ನೀಡಲು ರೈತರಿಂದ ಅರ್ಜಿ ಆಹ್ವಾನಿಸಲಾಗಿದೆ,Kannada
[१] संसदः विधायिकाशाखायां तु निम्नं सदनं लोकसभानाम अपि च उच्चं सदनं राज्यसभानाम तथा च राष्ट्रपतिः वर्तन्ते,Sanskrit
ગુજરાતી ૭૦૦ વર્ષ કરતા વધુ જૂની છે,Gujarati
" যেমন—দেখ গিয়া > দেখ গে, দেখ সিয়া > দেখ সে",Bengali
एथनोलॉग के अनुसार हिन्दी विश्व की तीसरी सबसे अधिक बोली जाने वाली भाषा है,Hindi
एषः भूभागः स्वस्य सांस्कृतिकसम्पदया प्रसिद्धः अस्ति,Sanskrit
اُردو پاکستان کی مُشترکہ زبان ہے اور یہ علاقائی زبانوں سے کئی الفاظ ضم کر رہی ہے,Urdu
ਪੰਜਾਬੀ ਅਤੇ ਇਸ ਨਾਲ ਜੁੜਦੀਆਂ ਭਾਸ਼ਾਵਾਂ,Punjabi
" புதுச்சேரி ஒன்றியப் பகுதியின், புதுச்சேரி மற்றும் காரைக்கால் பகுதிகளைச் சுற்றிலும் தமிழ்நாடு மாநிலம் எல்லைகளைக் கொண்டுள்ளது",Tamil
ସେବେଠାରୁ ଏହି ପଦବୀ ଖାଲି ଥିଲା,Odia
" भारत के बाहर, हिन्दी बोलने वाले संयुक्त राज्य अमेरिका में 8,63,077; मॉरीशस में 6,85,170; दक्षिण अफ़्रीका में 8,90,292; यमन में 2,32,760; युगांडा में 1,47,000; सिंगापुर में 5000; नेपाल में 8 लाख; जर्मनी में 30,000 हैं",Hindi
ఇతరత్రా ఇండో అరబిక్ రూపాలనే వాడుతారు,Telugu
नेपाली भाषाको सबैभन्दा पुरानो नाम खस कुरा हो,Nepali
" ଭାରତ ଟି-20 ଦଳ: ରୋହିତ ଶର୍ମା (କ୍ୟାପଟେନ), କେଏଲ୍ ରାହୁଲ (ଉପ ଅଧିନାୟକ), ଋତୁରାଜ ଗାଇକ୍ୱାଡ, ଶ୍ରେୟସ୍ ଆୟର, ସୂର୍ଯ୍ୟକୁମାର ଯାଦବ, ଋଷଭ ପନ୍ତ (ଡବ୍ଲୁ), ଇଶାନ କିଶନ (ଡବ୍ଲୁ), ଭେଙ୍କଟେଶ ଆୟର, ୟୁଜଭେନ୍ଦ୍ର ଚହଲ, ଆର ଅଶ୍ୱିନ, ଅକ୍ସର ପଟେଲ, ଆବେଶ ଖାନ, ଭୁବନେଶ୍ୱର କୁମାର, ଦୀପକ ଚହର, ହର୍ଷଲ ପଟେଲ, ମହମ୍ମଦ ସିରାଜ",Odia
அம்பியைத் தலைநகராகக் கொண்டிருந்த விசயநகரப் பேரரசு செல்வச் செழிப்போடும் அமைதியுடனும் திகழ்ந்தது,Tamil
" उनका अभियान गीत कदम कदम बढ़ाए जा भी इसी भाषा में था, परन्तु सुभाष चन्द्र बोस हिन्दुस्तानी भाषा के संस्कृतकरण के पक्षधर नहीं थे, अतः शुभ सुख चैन को जनगणमन के ही धुन पर, बिना कठिन संस्कृत शब्दावली के बनाया गया था",Hindi
প্ৰাচীন কালৰে পৰাই নিজা লিপি আৰু লিখিত সাহিত্যৰে পুষ্ট হৈ অসমীয়া ভাষাই বিৱৰ্তনৰ স্বাক্ষৰ বহন কৰি আহিছে,Assamese
" இந்தியாவின் மக்கள் தொகையைக் கொண்டிருந்தும், மிகக் கூடுதலான வணிக நிறுவனங்கள் கொண்ட மாநிலமாகவும், மொத்த வேலை வாய்ப்புகள் கொண்ட மாநிலங்களுள் இரண்டாவதாகவும் விளங்குகிறது",Tamil
இராசராச சோழன் கிழக்கிலிருந்த சாளுக்கிய அரசர்கள் மற்றும் சேர மன்னர்களை வீழ்த்தினான்,Tamil
برطانوی راج میں فارسی کی بجائے ہندوستانی کو فارسی رسم الخط میں لکھا جاتا تھا اور ہندو مسلم دونوں اس پر عمل کرتے تھے,Urdu
" 11వ శతాబ్దము ఆరంభము నుండి తెలుంగు భూపాలురు, తెల్గరమారి, తెలింగకులకాల ,తెలుంగ నాడొళగణ మాధవికెఱియ వంటి పదాలు శాసనాల్లో వాడబడ్డాయి",Telugu
" खासगरि सन् १९९० पछि लाखौं संख्यामा नेपालीहरू आप्रवासीका रूपमा विदेशिन थालेपछि अस्ट्रेलिया, बेलायत, अमेरिका, क्यानडा, युरोपेली सङ्घ र खाडी मुलुकहरूमा नेपाली भाषीहरू छरिएका छन्",Nepali
توشہ خانی; محی الدین حاجنی; پی,Kashmiri
"తెలుగు లిపి చాలవరకు ఉచ్ఛరించగల ఏకాక్షరాలతో ఉండి, ఎడమనుండి కుడికి, సరళమైన, సంక్లిష్టమైన అక్షరాల సరళితో కూడి ఉంటుంది",Telugu
இவன் கி,Tamil
বৰ্তমানলৈকে কোনো এটা মতৰ ক্ষেত্ৰতে ভাষাবিজ্ঞানীসকল একমত হ'ব পৰা নাই,Assamese
१२७८ मध्ये म्हाइंभट यांनी लीळाचरित्र लिहिले,Marathi
संविधानमेव देशस्य वरिष्ठं शासनम्,Sanskrit
आधुनिक हिन्दी में ष का उच्चारण पूरी तरह श की तरह होता है,Hindi
অসমীয়া ভাষাৰ প্ৰধান সুঁতিটো আৰ্য-ভাষাৰ সুঁতি বুলি কোৱাৰ এটা কাৰণ এয়ে যে ইয়াত ব্যৱহাৰ হোৱা বেছিভাগ শব্দ প্ৰাচীন ভাৰতীয় আৰ্য-ভাষাৰ পৰা ধ্বনিৰ কিছু সলনি ঘটি নাইবা প্ৰাচীন ভাৰতীয় আৰ্য ভাষাৰ পৰা মধ্য ভাৰতীয় আৰ্য ভাষাৰ মাজেদি বিকশিত হৈ হোৱা অৰ্ধতৎসম আৰু তদ্ভৱ শব্দ,Assamese
" இவற்றுள் முதன்மையாகக் குறிப்பிடத்தக்கவர்கள்,வேளிர்கள் பாண்டியர், சேரர், சோழர், பல்லவர், சாளுக்கியர், விஜய நகரத்தார், நாயக்கர் என்போராவர்",Tamil
"૫૫ કરોડ છે, જેથી ગુજરાતી ભાષા વિશ્વમાં ૨૦૦૭ મુજબ ૨૬મા ક્રમની સૌથી વધુ બોલાતી ભાષા છે",Gujarati
ಗ್ರಾಹಕರು ಉಡುಪುಗಳು ಮತ್ತು ಲೌಂಜ್ ವೇರ್ ಸೇರಿದಂತೆ ವಿವಿಧ ವಿಭಾಗಗಳಲ್ಲಿ ವಿವಿಧ ಶೈಲಿಗಳನ್ನು ಆಯ್ಕೆ ಮಾಡಿಕೊಳ್ಳಬಹುದಾಗಿದೆ,Kannada
" तांन्नी सोर्व कोंकण्यांक , ते हिंदु असु , गी क्रीस्तांव असु, कोण्त्याहि झात-धोर्माचे असु, तांका एकवोट कोरोउंक प्रोयोत्न केले",Konkani
"ಕಂದುಬಾಳೆ, ಆಂಗಾಂಶ ಬಾಳೆ, ಅವಕ್ಯಾಡೋ (ಬೆಣ್ಣೆ ಹಣ್ಣು) ಕಾಳು ಮೆಣಸು ಮತ್ತು ಹೈಬ್ರಿಡ್ ತರಕಾರಿ ಬೆಳಗಳ ಪ್ರದೇಶ ವಿಸ್ತರಣೆ, ಕಾಳುಮೆಣಸು ಪುನಶ್ಚೇತನ, ಹಸಿರು ಮನೆ, ಮಿನಿ ಟ್ರ್ಯಾಕ್ಟರ್, ಸಮುದಾಯಕ ಕೃಷಿ ಹೊಂಡ ಹಾಗೂ ರಾಜ್ಯವಲಯ ಯೋಜನೆಗಳಡಿ ಜೇನುಪಟ್ಟಿಗೆ ಖರೀದಿಗೆ ಶೇ",Kannada
" ബറുവ, എം",Malayalam
कर्नाटोकांत्ल्या कोंकणी लोक कोन्नड लिपि वापोरतात,Konkani
कोंक्ण्यांचे क्रीस्तांव धोर्मपोरिवोर्तोन झाताले आनी पुर्तुगेझांचे धोर्म-नीती च्य कारणार मोस्त कोंकणी हिंदु शेजार्च्या प्रांतांत धावले,Konkani
"देशी,भाखा, देशना वचन, हिन्दवी,दक्खिनी, रेखता, आर्यभाषा (दयानन्द सरस्वती),हिन्दुस्तानी, खड़ी बोली, भारती आदि हिन्दी के अन्य नाम हैं जो विभिन्न ऐतिहासिक कालखण्डों में एवं विभिन्न सन्दर्भों में प्रयुक्त हुए हैं",Hindi
اسی طرح اگر اردو اور ہندی زبان کو ایک سمجھا جائے تو یہ دنیا کی چوتھی بڑی زبان ہے,Urdu
" च वर्ग अक्षर, अनुस्वार उच्चारण हुँदा अर्ध ञ / ञ् वर्ण अघि, च छ ज झ ञ वर्ण पछि हुँदछ",Nepali
കൂടല്ലൂരിലെ കന്നുകാലി കവർച്ചാശ്രമത്തിൽ മരിച്ചുവീണ തീയർ അന്തവന്റെ സ്മാരകമായിട്ടുള്ള വീരക്കൽ എന്നാണ് ഈ വാചകത്തിന്റെ അർഥം,Malayalam
" మొత్తానికి ఇలా తెలుగు, తెనుగు, ఆంధ్ర – అనే పదాలు భాషకు, జాతికి పర్యాయపదాలుగా రూపుదిద్దుకొన్నాయి",Telugu
[29] अपने सीमित रूप –प्रशासनिक भाषा के रूप – में हिन्दी व्यवहार में भिन्न भाषाभाषियों के बीच परस्पर सम्प्रेषण का माध्यम बनी हुई है,Hindi
2001ء کی مردم شماری کے مطابق اردو کو بطور مادری زبان بھارت میں 5.01فیصد لوگ بولتے ہیں اور اس لحاظ سے یہ بھارت کی چھٹی بڑی زبان ہے جبکہ پاکستان میں اسے بطور مادری زبان 7.59% فیصد لوگ استعمال کرتے ہیں، یہ پاکستان کی پانچویں بڑی زبان ہے,Urdu
तेथे शके ९४० असे कोरले आहे,Marathi
భారతదేశంలో అత్యధికంగా మాతృభాషగా మాట్లాడే భాషలలో తెలుగు నాలుగో స్థానంలో ఉంది,Telugu
ਇਨ੍ਹਾਂ ਨੋਟੀਫਿਕੇਸ਼ਨਾਂ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ ਇਹ ਸੀ ਕਿ ਸਾਰੇ ਦਫ਼ਤਰੀ ਕੰਮ ਪੰਜਾਬੀ ਵਿੱਚ ਕਰਨ ਦੇ ਹੁਕਮ ਹੋਏ,Punjabi
ती मध्ये केही यस प्रकारका छन्,Nepali
गोंयां सोड्ण पोळ्तोल्यांत हिंद्वांचे आनी क्रीस्तांव आल्ले आनी तीन पोव्टी घोडलें,Konkani
" आदल्या ५०० वोर्सांत कोंकणी भास केनारा(तट्वोर्ती कोर्नाटोक), कोकण-पट्टा (तट्वोर्ती म्हाराष्ट्र) आनी केर्लांत पावलें, मूल कारोण कोंक्ण्यांच्या",Konkani
केरोळच्या कोंकणी लोक मळयाळम लिपिंत बोरोइतात,Konkani
" १८५७ मा ब्रिटिश इस्ट इन्डिया कम्पनीका विरुद्ध असफल विद्रोह भयो, जुन भारतीय स्वतन्त्रताको प्रथम संग्रामबाट चिनिन्छ, पछि भारतको अधिकांश भाग सीधै अङ्ग्रेजी शासनको प्रशासनिक नियन्त्रणमा आयो",Nepali
उर्दू और हिन्दी खड़ीबोली की दो आधिकारिक शैलियाँ हैं,Hindi
" (Earlier English did not use the word do as a general auxiliary as Modern English does; at first it was only used in question constructions, and even then was not obligatory",English
பி,Tamil
বাংলা ভাষার ব্যাপক পৃষ্ঠপোষকতা করেন বাংলার মুসলিম শাসকগোষ্ঠী,Bengali
কিন্তু মাগধী প্ৰাকৃত সম্পৰ্কে বহু কেইজন ভাষাবিজ্ঞানী সহমতত উপনীত হৈছে,Assamese
त्यानंतर कुडलचा शिलालेखाच़ा शोध लागला,Marathi
" The epic poem Beowulf is written in West Saxon, and the earliest English poem, Cædmons Hymn, is written in Northumbrian",English
" പഴന്തമിഴിൽ പ്രയോഗിച്ചിരുന്ന പല ആദത്തപദങ്ങളും ഇന്നും മലയാളത്തിലുണ്ടു്, തമിഴിൽ ഇല്ല",Malayalam
" From the 8th to the 12th century, Old English gradually transformed through language contact into Middle English",English
ഇതിൽ ഒരു വകഭേദമായ കൊടുംതമിഴാണു പിന്നീട് മലനാട്ടിലെ ഭാഷയായ മലയാളമായി രൂപം പ്രാപിച്ചതെന്നു പി,Malayalam
" हे आर्य शौरसेनी नांवाची प्राकृत भाशा उलयताले, जी खूब काळा उपरांत कोंकणी भाशेंत रुपांतरीत जाली",Konkani
" બીજા મહાનુભાવો કે જેમની પ્રથમ ભાષા ગુજરાતી છે અથવા હતી તેમાં નરસિંહ મહેતા, સ્વામી દયાનંદ સરસ્વતી, મોરારજી દેસાઈ, ધીરુભાઈ અંબાણી, જે",Gujarati
અલબત્ત કેટલાક દેશોમાં નોટો બહાર પાડવાનું કામ ખાનગી બૅંકો પણ કરતી હોય છે; દા,Gujarati
অসমীয়া ভাষাটো মূলতঃ মগধীয় ভাষা,Assamese
हिन्दी भाषा के लिए इस शब्द का प्राचीनतम प्रयोग शरफ़ुद्दीन यज्दी’ के ‘जफ़रनामा’(1424) में मिलता है,Hindi
১৯৪৭ থেকে ১৯৫২ খ্রিষ্টাব্দে পূর্ব বাংলায় সংগঠিত বাংলা ভাষা আন্দোলন এই ভাষার সাথে বাঙালি অস্তিত্বের যোগসূত্র স্থাপন করেছে,Bengali
ଏହା ଭାରତର ସମ୍ବିଧାନ ସ୍ୱିକୃତୀପ୍ରାପ୍ତ ୨୨ଟି ଭାଷା ମଧ୍ୟରୁ ଗୋଟିଏ ଓ ଝାଡ଼ଖଣ୍ଡର ୨ୟ ପ୍ରଶାସନିକ ଭାଷା,Odia
"ઉત્તર અમેરિકામાં એક નોંધપાત્ર ગુજરાતી બોલનાર વસ્તી, ખાસ કરીને ન્યુ યોર્ક શહેર મહાનગર વિસ્તાર અને ગ્રેટર ટોરોન્ટો વિસ્તારમાં, અસ્તિત્વ ધરાવે છે, જે અનુક્રમે 1,00,000થી વધુ અને 75,000થી વધુ વક્તાઓ ધરાવે છે",Gujarati
کچھ ماہرینِ لسانیات اُردو اور ہندی کو ایک ہی زبان کی دو معیاری صورتیں گردانتے ہیں,Urdu
ఆర్యభాషలు భారతదేశంలో ప్రవేశించక ముందు ద్రావిడ భాషలు భారతదేశమంతా విస్తరించి ఉండేవని కొంతమంది భాషా చరిత్రకారుల నమ్మకం,Telugu
"ગુજરાતી ‍(/ɡʊdʒəˈrɑːti/[૭], રોમન લિપિમાં: Gujarātī, ઉચ્ચાર: [ɡudʒəˈɾɑːtiː]) ભારત દેશના ગુજરાત રાજ્યની ઇન્ડો-આર્યન ભાષા છે, અને મુખ્યત્વે ગુજરાતી લોકો દ્વારા બોલાય છે",Gujarati
" മലയാള ഭാഷ കൈരളി, മലനാട്ട് ഭാഷ എന്നും അറിയപ്പെടുന്നു",Malayalam
" पोइल्या पोव्टीं , पुर्तुगेझ राज स्थापोण झाल्या उपरांत आनी १५६०-७० च्या इन्क्विझिसांव झात आसताना",Konkani
હૉંગકૉંગમાં ત્રણ વ્યાપારી બૅંકોને ‘હૉંગકૉંગ-ડૉલર’ નામ ધરાવતી બૅંકનોટો કાઢી આપવાની સત્તા આપવામાં આવી છે,Gujarati
ଓଡ଼ିଆ ବାକି ଭାରତୀୟ ଭାଷାମାନଙ୍କ ତୁଳନାରେ ଖୁବ କମ ପାରସୀ ଓ ଆରବୀ ଭାଷାଦ୍ୱାରା ପ୍ରାଭାବିତ,Odia
या बाबतीत मराठी भाषेचा जगात दुसरा क्रमांक लागतो[ संदर्भ हवा,Marathi
ಇದರ ಮೂಲಕ ಫ್ಲಿಪ್ ಕಾರ್ಟ್ ನ ಆದ್ಯತೆಯೊಂದಿಗೆ ತನ್ನ ಫ್ಯಾಷನ್ ಪೋರ್ಟ್ ಫೋಲಿಯೋವನ್ನು ನಿರಂತರವಾಗಿ ವಿಸ್ತರಣೆ ಮಾಡಲು ಮತ್ತು ಇತ್ತೀಚಿನ ಟ್ರೆಂಡ್ ಗಳನ್ನು ದೇಶಾದ್ಯಂತ ಫ್ಯಾಷನ್ -ಅನ್ವೇಷಕರಿಗೆ ಪ್ರವೇಶಿಸುವಂತೆ ಮಾಡುತ್ತದೆ,Kannada
আদি-মধ্য বাংলার স্থিতিকাল আনুমানিক ১৩৫০ খ্রীঃ হতে ১৪৫০ খ্রীঃ পর্যন্ত,Bengali
ତେବେ ବ୍ୟାଟିଂ ଆମନ୍ତ୍ରଣ ପାଇ ପ୍ରଥମେ ବ୍ୟାଟିଂ କରିଥିବା ସ୍କଟଲ୍ୟାଣ୍ଡ ଦଳ 17.4 ଓଭରରେ ସମସ୍ତ ୱିକେଟ ହରାଇ ମାତ୍ର 58 ରନ ସ୍କୋର କରି ପାରିଛି,Odia
13వ శతాబ్దములో మహమ్మదీయ చారిత్రకులు ఈ దేశమును త్రిలింగ్ అని వ్యవహరించారు,Telugu
ಈ ವರ್ಷ ನಮ್ಮ ಅತಿದೊಡ್ಡ ಫ್ಯಾಷನ್ ಪಾಲುದಾರಿಕೆಗಳಲ್ಲಿ ಒಂದಾಗಿರುವ ಅರ್ಬಾನಿಕ್ ಅನ್ನು ಫ್ಲಿಪ್ ಕಾರ್ಟ್ ನಲ್ಲಿ ಆರಂಭಿಸಲು ನಾವು ಸಂತೋಷಪಡುತ್ತೇವೆ,Kannada
اس طریقے نے تعلیمی اور ادبی ذخیرہ الفاظ کو بہت متاثر کیا ہے اس کے باجود دونوں قوموں میں اب بھی سنسکرت اور فارسی کی جڑیں باقی ہیں,Urdu
ଶାସ୍ତ୍ରୀୟ ଭାଷା ହେବା ଫଳରେ ଓଡ଼ିଆ ଭାଷାରେ ଉଲ୍ଲେଖନୀୟ ଅବଦାନ ସକାଶେ ପ୍ରତିବର୍ଷ ଆଠଟି ଅନ୍ତର୍ଜାତୀୟ ପୁରସ୍କାର ପ୍ରଦାନ କରାଯିବ,Odia
ਪੰਜਾਬੀ ਭਾਸ਼ਾ ਦੀ ਇਹ ਬਦਕਿਸਮਤੀ ਹੀ ਸਮਝੋ ਕਿ ਇਸ ਨੂੰ ਬੋਲਣ ਅਤੇ ਲਿਖਣ ਵਾਲੇ ਵੰਡੇ ਗਏ,Punjabi
" നശിച്ചുവീഴുക, മരണപ്പെടുക തുടങ്ങിയ അർഥങ്ങൾ പെടു എന്ന ധാതുവിനുണ്ട്",Malayalam
किन्तु हिन्दी के मुख्य दो भेद हैं - पश्चिमी हिन्दी तथा पूर्वी हिन्दी,Hindi
" ಅಂದರೆ, ಗುಲ್ಬರ್ಗಾದಿಂದ ತೊಗರಿಬೇಳೆಯಂತಹ ಉತ್ಪನ್ನಗಳನ್ನು ತನ್ನ ಪ್ಲಾಟ್ ಫಾರ್ಮ್ ನಲ್ಲಿ ತರಲಿದೆ",Kannada
" মধ্যপ্রাচ্য,যুক্তরাষ্ট্র,সিঙ্গাপুর মালয়েশিয়া, অস্ট্রেলিয়া, কানাডা, যুক্তরাজ্য এবং ইতালিতে উল্লেখযোগ্য সংখ্যায় বাঙালি বসবাস করেন",Bengali
মধ্য বাংলা (১৪০০–১৮০০ খ্রিস্টাব্দ) — এ সময়কার গুরুত্বপূর্ণ লিখিত নিদর্শন চণ্ডীদাসের শ্রীকৃষ্ণকীর্তন ইত্যাদি,Bengali
" இவர்களுடைய பேரரசு, மைய இந்தியா, ஒரிசா, மற்றும் வங்காளத்தின் சில பகுதிகள் வரை கூடப் பரவியிருந்தது",Tamil
ড° ডিম্বেশ্বৰ নেওগে Growth of the Asamiya Language-ত অসমীয়া ভাষাৰা জন্ম মাগধী প্ৰাকৃতৰ পৰা হোৱা বুলি চলি অহা ধাৰণাটো ভুল আৰু ই it did not stand analysis and proper scrutiny বুলি মন্তব্য কৰিছে,Assamese
महानुभाव संप्रदायाने मराठी साहित्यात मौलिक भर घातली,Marathi
অসমীয়া ভাষাৰ উদ্ভৱ সম্পৰ্কে বিভিন্ন ভাষাবিজ্ঞানীয়ে সময়ে সময়ে বিভিন্ন মত আগবঢ়াই আহিছে,Assamese
उस समय उन्होंने अपने सार्वजनिक उद्बोधन में पहली बार आह्वान किया था कि हिन्दी को ही भारत की राष्ट्रभाषा का दर्जा मिलना चाहिये,Hindi
جنوبی ایشیاء سے باہر اُردو زبان خلیجِ فارس اور سعودی عرب میں جنوبی ایشیائی مزدور مہاجر بولتے ہیں,Urdu
त्यानंतर मराठी भाषेस राजाश्रय मिळाला,Marathi
अत्र शासनार्थ संविधानं रचितम्,Sanskrit
"ఆంధ్రులు మాట్లాడే భాషకు ఆంధ్రము, తెలుగు, తెనుగు అనే పేర్లున్నాయి",Telugu
اس کے علاوہ مہاراشٹر، کرناٹک، پنجاب اور راجستھان وغیرہ ریاستوں میں بڑی تعداد میں بولی جاتی ہے,Urdu
مَگَر اَز کَل چھُ کٔشیٖر ہِندوستان کؠن جۆم تہٕ کٔشیٖر تہٕ لَداخ مَرکٔزی عَلاقَن، پٲکِستان کؠن آزاد کٔشیٖر تہٕ گِلگِت بالتِستان عَلاقَن تہٕ چیٖن کؠن اَکسای چِن تہٕ قاراقۆرَم خطہٕ عَلاقَن خٲطرٕ وَرتاونہٕ یِوان,Kashmiri
" ਪੰਜਾਬੀ ਸਿੱਖੀ ਦੀ ਧਾਰਮਿਕ ਭਾਸ਼ਾ ਵੀ ਹੈ, ਜਿਸ ਦੀ ਇੱਕ ਲਿਪੀ ਗੁਰਮੁਖੀ ਵਿੱਚ ਸ੍ਰੀ ਗੁਰੂ ਗ੍ਰੰਥ ਸਾਹਿਬ ਜੀ ਦੀ ਰਚਨਾ ਕੀਤੀ ਗਈ ਹੈ",Punjabi
شہادَت نماز روزُن زَکات حَج اِسلام چھہ کٔشِیر وادی جاے مٗنٛز ساروٕے کھۄتہٕ زیادٕ بوٚڑ مَزہَب,Kashmiri
" అశోకుడి కాలానికి చెందిన బ్రాహ్మి లిపి రూపాంతరమైన భట్టిప్రోలు లిపి నుండియు, ప్రాచీన కన్నడ భాష హలెగన్నడ లిపినుండియూ తెలుగు లిపి ఉద్భవించింది",Telugu
" हें सोगळें झाउन, गोंयांत काय्यें बोद्लुना",Konkani
अतः अस्माकं देशः वेदभूमिः इति विख्यातः,Sanskrit
अंतस्थ वर्णका चार अक्षर य र ल व (अर्ध म अनुनासिक वर्ण),Nepali
শতম শাখাৰ এটা প্ৰধান ভাগ আছিল 'আৰ্য' বা 'ভাৰত-ইৰানীয়',Assamese
کول; محی الدین حاجنی; پی,Kashmiri
हिन्दी भारत की राष्ट्रभाषा नहीं है क्योंकि भारत के संविधान में किसी भी भाषा को ऐसा दर्जा नहीं दिया गया है,Hindi
اِسلام مٗنٛز چھہ پانٛژ ستونَن یانی عِبادات,Kashmiri
